duration,waitingtime,waitingcount,timeloss,co2,fuel
378,30,3,150.59,569619.2437,181688.7381
398,14,2,170.41,597621.2396,190620.2502
440,36,4,211.46,630210.1496,201016.0016
390,3,2,161.9,563367.9397,179694.3134
410,11,3,181.16,597268.2991,190508.3522
382,0,0,153.52,570081.9114,181836.5663
365,5,1,136.62,544713.5747,173744.4588
415,14,2,186.51,616732.5923,196716.6693
462,20,3,234.41,648529.4485,206859.5799
442,10,2,212.87,614055.2251,195862.7191
373,7,2,144.65,561551.1977,179115.2689
479,25,4,249.77,691207.3162,220472.162
387,18,3,158.56,567426.748,180989.2764
430,7,1,202.04,630910.3325,201239.0005
471,5,2,241.77,633072.8505,201929.5501
365,22,2,136.64,565116.388,180252.2094
364,0,0,135.36,530853.3964,169324.0269
482,15,2,253.5,664213.3227,211862.5575
422,2,1,193.41,604783.582,192905.2439
401,16,3,173.06,612128.5198,195247.5792
417,8,3,189.1,588124.3827,187591.9427
400,11,1,172.19,583941.0578,186257.4655
351,0,0,123.3,531663.2502,169581.8684
447,20,3,219.33,633180.0398,201963.7857
396,8,3,168.21,567934.4423,181151.6275
485,21,3,256.67,677834.1375,216207.0345
364,20,3,135.44,551745.9325,175987.5396
364,10,2,135.9,545057.021,173854.1967
416,2,1,187.31,603634.9668,192538.7623
360,0,0,131.83,534401.4501,170455.4487
475,20,5,244.76,670217.4777,213776.6815
421,8,3,192.77,603751.457,192576.1735
434,9,2,205.27,634947.1174,202526.559
413,33,4,184.46,590455.8445,188335.1617
525,38,5,296.5,717337.434,228807.3875
377,5,1,148.7,552910.6722,176359.6564
425,20,5,197.14,605701.3227,193198.3017
421,18,2,193.05,634028.1673,202233.2424
370,6,3,141.81,563138.0035,179621.2874
400,15,1,171.82,592577.654,189011.6727
405,10,2,176.09,596049.3264,190119.2604
441,11,2,212.21,594914.0616,189757.9847
478,17,4,250.03,681158.8289,217267.2588
398,35,2,169.42,603248.809,192415.592
437,11,1,209.18,616210.3133,196550.4323
455,17,3,226.88,617090.5575,196831.4413
348,10,2,119.12,535798.0025,170900.2883
375,1,1,147.07,537174.5392,171340.2923
445,6,1,217.05,645554.3029,205909.7925
379,17,2,150.73,552112.5906,176104.9308
404,23,3,176.04,595860.8853,190059.1157
389,26,2,160.83,587585.475,187419.5606
341,3,1,113.29,505836.5629,161344.0259
357,26,2,128.26,541071.1583,172582.5779
396,15,2,167.6,563320.729,179679.9304
348,3,1,119.82,510891.4797,162956.308
355,2,2,126.09,532429.3972,169825.864
437,7,3,208.8,634260.8799,202307.8039
429,8,3,200.3,625752.8449,199593.7744
389,4,3,160.51,573193.4528,182829.0155
319,0,0,90.86,489950.8711,156276.4716
393,8,2,164.79,575187.3528,183465.0393
337,0,0,108.42,500417.4072,159615.5115
356,3,1,128.04,541328.1478,172664.7413
370,2,2,141.86,545674.8246,174051.1212
349,0,0,120.24,508762.8619,162277.3945
403,2,1,173.36,587521.7375,187398.9766
387,4,1,158.36,556529.1894,177513.9766
446,12,2,217.7,631752.6166,201508.1973
373,7,1,143.96,548432.0357,174930.9893
339,13,2,110.89,522606.2944,166692.8011
469,14,3,239.35,653060.9579,208304.6924
388,4,2,160.25,570538.9887,181982.1157
402,16,4,173.91,588996.64,187869.2107
458,8,4,230.14,646722.8932,206282.9049
433,12,1,204.61,596054.7634,190121.78
366,6,1,137.86,557476.2639,177815.4923
358,13,3,129.97,546004.6579,174156.3262
367,28,2,138.32,568012.7248,181176.0175
476,22,3,248,665176.0762,212169.4379
422,16,4,193.61,612460.4535,195354.1146
371,25,2,142.66,546070.5469,174177.6824
416,15,2,185.81,603207.704,192403.0947
428,9,1,199.29,628719.5674,200540.3444
347,0,0,118.35,521012.381,166184.502
456,13,6,227.32,642234.163,204851.3025
470,41,7,241.94,665148.5971,212160.2283
335,0,0,106.63,502382.9258,160242.4511
395,32,3,166.47,602400.8777,192144.7281
462,2,1,233.29,629967.3569,200938.8273
426,22,4,198.41,604238.2035,192731.8622
350,3,1,121.83,512625.8843,163509.8288
333,0,0,105.17,497880.9299,158806.4232
443,11,2,214.82,646136.2806,206095.818
413,8,2,185.31,593178.0375,189203.5277
529,37,9,299.97,739512.6724,235880.0531
360,2,1,131.47,523057.8734,166837.3229
357,0,0,128.37,521173.5891,166236.4447
342,10,2,114.04,544321.5933,173618.9749
489,23,6,260.7,728941.4645,232507.6797
404.56,12.27,2.22,176.1944,589104.3771,187904.1398
