duration,waitingtime,waitingcount,timeloss,co2,fuel
289,1,1,60.87,441353.4808,140775.557
304,17,2,75.68,471159.2745,150282.6342
272,0,0,43.81,428176.5083,136572.2683
297,0,0,68.86,449562.1831,143394.0643
294,2,1,66.21,430815.2805,137414.5918
286,7,2,58.29,448823.4317,143157.9781
281,3,1,52.74,440278.684,140432.5484
316,1,1,87.87,462820.4179,147623.2604
304,20,2,76.13,473785.1853,151120.1286
325,4,2,96.4,493362.7737,157365.0004
277,10,1,48.67,434540.741,138602.3621
331,20,2,102.86,486985.332,155331.0637
331,9,1,102.62,479864.6788,153060.1221
279,0,0,50.51,437068.0206,139408.3949
293,7,3,64.89,459293.3529,146497.5788
315,18,3,86.66,511087.3848,163018.0254
341,17,2,113.28,537487.6771,171439.2214
315,17,2,86.39,477239.9961,152222.3959
320,6,2,91.19,461759.6697,147285.0735
293,3,1,64.86,439856.2774,140298.1017
298,5,3,69.53,466130.6265,148678.3714
280,12,2,52.02,460407.2823,146852.5681
275,5,1,46.27,417442.9235,133148.8636
328,22,3,99.83,510641.8138,162876.3508
355,16,2,126.95,535269.8402,170732.3295
327,12,2,98.79,500307.8333,159580.2314
316,2,1,87.31,477433.1901,152284.056
299,0,0,70.93,441878.8975,140943.4653
275,10,1,47.01,422567.5301,134783.4301
290,8,2,62.46,461710.6027,147268.5398
326,1,1,97.21,496207.7052,158272.5033
297,7,1,69.25,465763.4678,148561.4252
313,21,2,84.32,483620.6439,154257.5535
338,16,2,109.68,517897.5744,165191.0102
287,10,2,58.8,466873.0451,148915.0155
290,16,2,61.61,448431.4305,143033.1811
294,7,1,65.9,461754.0254,147282.5906
280,0,0,51.89,447346.0285,142686.5183
356,20,3,127.54,513205.8481,163694.9284
293,0,0,65.13,458486.0712,146240.1377
290,5,1,60.62,443171.13,141355.1728
273,0,0,44.53,419632.2519,133847.132
335,16,2,106.83,499530.9608,159332.8268
295,2,1,67.33,432704.9948,138017.2717
290,10,1,61.95,457581.0604,145951.4256
298,4,1,69.67,472925.4081,150845.6679
277,0,0,48.39,427708.4648,136423.1742
302,16,2,73.5,461052.4095,147058.9556
281,0,0,52.78,421928.4841,134579.6959
302,24,2,73.49,464971.1012,148308.8562
271,2,1,42.39,425942.553,135859.7816
319,3,1,90.56,467773.1619,149203.1297
374,21,2,145.29,549658.9983,175322.3607
284,12,2,55.83,462410.2999,147491.5633
294,12,3,66,456632.9021,145648.859
276,11,1,47.73,427252.9074,136277.8706
317,0,0,88.04,473002.4161,150870.85
276,10,1,47.47,418425.6375,133462.3979
332,15,2,103.64,486969.7715,155326.2599
314,18,3,85.97,470423.4392,150048.2329
336,22,3,107.5,497316.455,158626.4137
321,21,2,92.45,484290.6478,154471.3686
327,21,2,98.41,488271.5155,155741.3137
311,35,4,83.23,501543.8036,159974.0094
324,2,2,95.56,506647.5478,161602.2659
337,20,2,108.76,516435.5332,164724.5881
292,11,1,63.99,455880.319,145409.0277
379,20,2,151.02,552261.1146,176152.374
326,18,2,97.35,499412.6333,159294.8189
296,5,2,67.49,448706.9137,143121.0862
279,6,2,50.32,438244.4664,139783.6243
294,7,1,65.76,463516.5058,147844.6713
288,0,0,60.22,428017.2915,136522.0194
357,20,3,128.86,529819.9625,168994.0958
294,0,0,65.48,460620.7419,146921.0829
329,28,3,100.73,499646.873,159369.4681
320,21,3,91.41,492561.7626,157109.405
340,21,4,111.68,507038.2713,161727.2195
301,21,2,72.15,456762.3367,145690.6487
300,11,1,71.72,482218.4599,153809.8037
291,5,3,62.47,454784.6007,145059.5186
310,3,1,81.83,473001.4261,150870.2616
321,20,2,92.39,473975.4857,151181.4136
269,0,0,40.46,412529.7335,131581.6039
276,9,2,47.78,441641.6475,140867.0709
291,18,4,62.9,484859.9442,154652.0105
336,11,2,107.77,515174.3445,164322.1407
270,1,1,41.57,417823.5715,133270.224
272,6,1,43.65,428977.1215,136827.6433
323,4,2,94.74,504219.5478,160827.708
350,3,1,121.82,521039.0194,166193.1827
339,11,3,111.03,499951.9639,159467.0818
298,22,2,70.24,465538.4017,148489.6813
318,14,3,89.75,501169.1168,159854.6279
298,0,0,69.92,467767.73,149200.6921
324,24,4,96.22,504914.4087,161049.4247
284,14,2,55.83,473984.2837,151183.104
284,0,0,55.66,431718.4548,137702.375
306,28,2,78.36,482091.0357,153769.4574
306,19,2,77.47,471335.1238,150338.7928
305.97,10.55,1.64,77.6918,469941.052,149894.1224
