duration,waitingtime,waitingcount,timeloss,co2,fuel
125,17,1,34.18,247164.6288,78836.51678
145,7,1,54.5,273774.3179,87324.37379
119,0,0,28.54,231205.3313,73746.11386
103,0,0,12.4,206265.5172,65791.09396
106,0,0,14.93,208698.4348,66567.1356
124,17,1,32.82,245270.7364,78232.4475
109,0,0,18.03,217225.9528,69287.08092
147,16,1,56.41,277046.7911,88368.19064
136,13,1,45.14,260987.872,83245.81672
119,0,0,27.94,229237.3205,73118.36649
116,0,0,25,228511.1399,72886.71508
115,0,0,23.73,224239.3368,71524.17485
104,0,0,12.92,206783.0988,65956.14552
126,12,1,34.89,245934.5246,78444.1792
113,0,0,21.75,220411.2781,70303.15611
126,11,1,35.23,246748.7895,78703.90702
132,0,0,41.27,251447.184,80202.67876
111,0,0,20.18,218495.5234,69692.07307
119,0,0,28.2,230946.6438,73663.59891
122,0,0,30.85,237343.8443,75704.08893
105,0,0,13.63,210565.9331,67162.75256
113,0,0,21.9,219317.6568,69954.35048
129,18,1,38.14,246338.977,78573.27733
111,0,0,19.78,217352.5101,69327.50444
104,0,0,13.55,207520.5003,66191.38446
123,4,1,31.93,245426.2428,78282.02655
126,0,0,35.36,244261.6371,77910.65836
121,9,1,30.32,234622.3886,74836.02442
119,0,0,28.43,233817.085,74579.07012
110,0,0,19.51,216964.3983,69203.68167
105,0,0,14.46,202600.5106,64622.14413
122,13,1,30.97,245900.849,78433.2968
104,0,0,12.84,206188.3422,65766.48491
124,12,1,32.97,246324.2933,78568.50232
102,0,0,11.33,202823.1789,64693.12178
122,3,1,31.28,239889.5093,76515.97339
104,0,0,12.6,204559.6806,65247.02383
118,1,1,26.89,235037.7416,74968.38109
148,5,1,56.92,273906.0532,87366.4397
110,0,0,19,210183.4087,67040.85878
117,0,0,26,224924.0197,71742.62409
104,0,0,13.16,204852.6582,65340.4769
104,0,0,12.7,203906.6623,65038.70787
122,5,1,31.3,240080.3933,76576.86599
115,0,0,24.43,230172.6306,73416.59232
105,0,0,13.63,209016.6511,66668.61113
116,0,0,24.75,226094.4637,72115.91113
114,0,0,22.81,224057.8484,71466.27401
120,9,1,29.54,237878.0725,75874.40445
103,0,0,12,204502.494,65228.77751
105,0,0,13.97,208976.899,66655.93699
104,0,0,12.68,203828.3846,65013.73942
118,1,1,26.6,239550.3931,76407.72027
125,4,1,33.65,245016.2859,78151.27499
132,18,1,41.51,254295.1658,81111.03388
110,0,0,19.02,211444.4606,67443.05965
111,0,0,19.65,227965.9071,72712.62088
103,0,0,11.58,203579.6486,64934.43185
123,17,1,32.53,242913.5963,77480.64554
130,17,1,38.67,256604.9623,81847.6994
108,0,0,17.17,216704.5107,69120.67185
146,18,1,55.5,271362.618,86555.17596
133,0,0,41.58,253936.2073,80996.58884
109,0,0,18.37,215265.5552,68661.82133
106,0,0,15.37,206555.5273,65883.6677
112,0,0,20.76,224352.9432,71560.33084
124,17,1,32.91,245630.9444,78347.34316
123,2,1,32.49,246971.7646,78774.98461
127,0,0,35.77,238640.0732,76117.66824
105,0,0,13.73,206654.135,65915.09352
103,0,0,12.4,200992.4774,64109.23952
103,0,0,12.3,204986.3416,65383.10338
113,0,0,21.83,220402.1813,70300.25846
122,13,1,31.23,243712.2813,77735.30793
117,0,0,25.84,225298.6306,71862.10323
105,0,0,13.9,205688.0642,65606.97105
111,0,0,20.3,221700.5641,70714.31495
103,0,0,11.96,204943.2476,65369.35341
105,0,0,14.38,207972.7966,66335.68783
119,0,0,28.24,230063.0278,73381.77709
124,11,1,33.08,245780.3438,78394.92196
111,0,0,20.32,218845.0403,69803.55556
117,0,0,26.42,227688.4063,72624.32758
109,0,0,18.53,217210.3705,69282.12056
105,0,0,14.41,209203.7724,66728.30482
104,0,0,13.14,203971.204,65059.3393
111,0,0,20.34,221893.3105,70775.74878
121,0,0,30.05,232182.8074,74057.86987
114,0,0,22.85,227123.9411,72444.20186
111,0,0,20,223295.93,71223.10923
108,0,0,16.97,221631.2028,70692.11796
102,0,0,11.02,201759.5435,64353.87254
113,0,0,22.12,222206.9187,70875.87981
108,0,0,16.96,209336.795,66770.76148
124,0,0,33.32,240910.4024,76841.71458
110,0,0,18.68,217851.3281,69486.58395
112,0,0,21.39,225716.081,71995.11257
120,3,1,28.58,242370.3903,77307.22926
111,0,0,20.3,221744.3366,70728.27313
109,0,0,18.18,214239.6396,68334.60628
115.56,2.93,0.28,24.6359,226877.9641,72365.79333
