duration,waitingtime,waitingcount,timeloss,co2,fuel
124,17,1,33.48,244084.5643,77854.11578
115,0,0,23.72,223359.1782,71243.4501
114,0,0,22.58,221297.6959,70585.92625
128,18,1,36.97,253822.0784,80959.99488
107,0,0,16.49,205927.2679,65683.30411
124,1,1,32.71,242458.0846,77335.3326
108,0,0,16.87,210058.4917,67000.98239
117,0,0,26.48,228811.2488,72982.45911
112,0,0,21.07,227885.8682,72687.16708
121,0,0,30.02,230754.0193,73602.22662
114,0,0,23,233421.3781,74452.69921
114,0,0,23.37,221303.5386,70587.7706
104,0,0,13.29,204892.0227,65353.03521
127,6,1,35.65,247881.105,79065.07939
113,0,0,22.11,220873.0055,70450.43225
127,16,1,36.33,250336.4968,79848.2875
127,9,1,35.73,247594.4089,78973.6415
112,0,0,20.67,212558.8939,67798.61539
117,0,0,25.62,223186.7404,71188.5183
121,0,0,29.92,230648.0853,73568.43942
127,18,1,35.89,250363.9362,79857.03344
112,0,0,20.61,212800.4307,67875.64537
106,0,0,15.31,210850.7208,67253.60915
112,0,0,20.69,226652.9456,72293.91851
103,0,0,11.72,203051.7749,64766.07051
128,0,0,37.47,247893.3562,79069.06691
120,0,0,29.21,233775.69,74565.9684
121,14,1,30.56,237932.5191,75891.8023
120,0,0,28.62,230299.1894,73457.14041
108,0,0,16.6,214568.2743,68439.39655
109,0,0,17.8,215984.7561,68891.20026
122,8,1,31.25,241319.3511,76972.05609
133,0,0,42.17,255912.4327,81626.92755
123,16,1,32.04,242573.0137,77371.93295
125,8,1,33.89,246310.4121,78564.0636
124,0,0,33.21,237360.4923,75709.4314
105,0,0,13.86,205600.4552,65579.02792
119,0,0,27.76,227011.0005,72408.27943
117,0,0,26.41,228922.7121,73018.01227
107,0,0,15.81,215449.7462,68720.49095
114,0,0,23.47,221071.6833,70513.82229
105,0,0,14.02,210357.1827,67096.17759
108,0,0,17.28,211774.1678,67548.20247
123,3,1,31.86,242661.4889,77400.15215
121,0,0,29.69,231530.5335,73849.89612
105,0,0,13.65,206034.7521,65717.54202
117,0,0,26.13,222045.295,70824.46574
141,19,1,50.53,263454.1618,84032.60384
121,0,0,29.7,241562.7861,77049.69478
104,0,0,13.26,204507.4485,65230.37426
107,0,0,16.48,213039.0544,67951.62326
107,0,0,15.65,211550.2836,67476.76923
118,0,0,27.46,225715.4049,71995.06034
124,0,0,32.99,237773.5066,75841.20136
106,0,0,15.53,208955.124,66649.01617
113,0,0,22.08,216130.0561,68937.68319
110,0,0,19.43,216647.9593,69102.7543
125,0,0,34.32,239586.814,76419.51961
129,0,0,37.64,249320.2693,79524.20327
104,0,0,13.42,206271.8866,65793.13948
109,0,0,18.52,221730.3866,70723.75071
118,0,0,27.03,230227.4158,73434.13841
126,0,0,34.92,233141.6093,74363.90123
110,0,0,18.74,211870.2824,67578.92038
131,16,1,40.56,248894.8477,79388.54172
110,0,0,18.72,222253.4616,70890.59311
124,5,1,32.72,242811.9851,77448.22395
121,0,0,30.38,230062.2605,73381.6049
125,5,1,33.78,248011.1939,79106.56967
107,0,0,16.16,208715.9561,66572.77645
107,0,0,15.92,213314.302,68039.40595
104,0,0,13.42,208131.0055,66386.10361
111,0,0,20.07,219930.0934,70149.62731
121,11,1,30.56,237318.4252,75695.93313
116,0,0,25.55,223983.5505,71442.62982
109,0,0,18.29,212056.492,67638.29915
113,0,0,21.85,217387.6006,69338.77005
102,0,0,10.79,203557.991,64927.48007
107,0,0,15.95,208419.3082,66478.15949
119,0,0,28.12,229103.0685,73075.59758
125,16,1,33.88,247725.0728,79015.3035
111,0,0,20.45,217208.8741,69281.70502
113,0,0,21.91,224288.2485,71539.65779
108,0,0,17.3,211306.135,67398.92445
104,0,0,13.02,203644.9281,64955.27233
126,18,1,34.97,251715.6246,80288.08339
112,0,0,21.3,225402.6999,71895.12213
129,0,0,38.35,240112.4823,76587.38793
111,0,0,19.8,215795.4232,68830.88261
113,0,0,22.21,226542.8991,72258.82939
108,0,0,17.07,209523.6001,66830.38862
105,0,0,13.83,207319.5479,66127.32641
115,0,0,23.74,221407.6289,70621.01365
108,0,0,16.65,216741.4531,69132.52738
122,0,0,31.4,236834.5109,75541.6166
111,0,0,20.47,216085.2599,68923.33762
112,0,0,20.65,220175.5781,70227.92043
121,0,0,29.85,231066.0603,73701.75167
114,0,0,23.19,220195.1128,70234.23098
111,0,0,20.14,216404.0456,69025.00116
115.58,2.24,0.19,24.6378,225761.9366,72009.83763
