duration,waitingtime,waitingcount,timeloss,co2,fuel
281,1,1,52.91,436183.7619,139126.3695
278,8,1,49.59,436083.0682,139094.3172
345,16,2,117.26,515915.2734,164558.8798
294,8,1,65.95,464132.711,148041.2465
296,19,2,67.72,473756.1682,151110.7087
285,9,1,56.72,447882.2168,142857.9166
298,0,0,69.48,457607.2806,145959.9922
310,9,1,81.89,475146.2232,151554.5177
330,10,1,101.89,490718.3025,156521.8349
339,22,3,110.85,509778.2027,162601.095
306,15,1,78.04,478919.566,152757.8819
334,17,2,106.05,487667.8483,155549.0475
297,0,0,68.41,464477.8408,148151.3308
292,0,0,64.26,447013.2731,142580.9027
303,0,0,74.78,473049.2232,150885.5483
285,0,0,57.06,428104.2076,136549.615
323,8,1,94.88,487638.6851,155539.3616
333,10,1,104.3,500498.31,159641.1484
339,11,2,110.39,515527.3845,164435.0031
288,0,0,60.1,441986.8481,140977.5702
288,0,0,59.32,448752.5426,143135.5024
306,0,0,78.22,466317.2806,148738.4392
322,0,0,94.06,487414.3073,155467.7959
329,5,1,100.82,491657.9506,156821.4609
351,2,1,122.81,512177.3253,163366.7917
380,17,3,151.96,564105.9978,179930.4044
339,9,1,111.41,507873.2007,161993.6552
344,17,2,115.92,508889.8224,162318.1097
316,10,1,88.19,478614.3895,152660.8707
358,0,0,129.47,528319.7963,168515.7228
297,5,1,68.54,456603.3545,145639.7713
317,0,0,88.48,477038.3838,152158.3062
345,14,1,117.07,519151.1503,165591.0157
317,8,1,88.54,480220.9892,153173.2098
291,0,0,62.44,453804.9987,144747.0869
286,6,1,56.96,437539.6241,139559.0392
323,15,1,94.39,487862.6012,155610.8811
276,10,1,47.72,434588.2344,138617.5207
311,16,2,82.75,487114.8044,155371.7773
335,6,1,106.37,494912.3543,157859.7239
340,5,1,111.73,507484.4035,161869.6908
326,1,1,97.22,489661.6791,156184.6867
355,0,0,127.2,532659.7281,169899.8621
311,4,1,83.42,471085.5476,150259.3161
310,17,2,80.85,480411.1599,153233.6735
326,0,0,97.83,502674.0682,160334.9482
342,19,2,114.08,522306.6242,166597.26
336,15,1,108.37,496956.6131,158511.7003
279,0,0,50.84,442965.5815,141289.4486
292,0,0,63.02,446430.5396,142395.0688
294,7,2,65.94,465505.5734,148478.9931
296,0,0,66.95,465302.0349,148414.2309
374,31,3,145.13,564110.2014,179931.6315
318,8,1,89.16,501242.4229,159878.2183
385,4,1,156.49,553780.8693,176637.2655
278,5,1,49.45,434521.9857,138596.394
331,8,1,102.91,495370.2913,158005.7001
317,6,1,88.76,489621.8476,156171.7517
292,0,0,64.19,437571.6475,139569.5222
321,0,0,92.74,464733.2281,148233.5594
339,11,1,110.63,512371.9105,163428.5558
342,9,3,113.56,512814.2343,163569.7092
291,8,1,62.79,452017.8192,144177.1132
334,10,1,105.99,503514.5074,160603.3186
322,11,2,93.62,497795.4574,158778.7094
274,2,1,45.69,418394.5036,133452.3506
319,6,1,90.42,486880.3914,155297.3269
296,10,1,67.52,457135.9606,145809.6739
352,1,1,123.46,523971.1613,167128.438
299,0,0,70.99,454760.813,145052.2192
317,0,0,88.59,476878.6503,152107.0834
353,5,1,124.88,522426.2198,166635.8426
364,0,0,135.71,539852.8926,172194.3081
286,11,1,58.33,442005.8123,140983.5777
310,0,0,81.16,471262.1083,150315.5415
304,3,2,75.46,472313.3592,150650.6733
306,15,1,77.27,453630.1667,144691.8806
321,7,1,92.68,491097.8743,156642.6447
321,0,0,92.79,495401.4291,158015.2195
337,15,2,108.95,490240.4814,156369.5875
294,9,2,65.84,453285.2695,144581.3822
301,0,0,72.62,450986.9748,143848.5622
280,6,1,51.55,429042.2318,136848.6391
337,9,1,108.79,516113.736,164621.9736
321,0,0,92.69,482057.6071,153759.1925
323,3,1,94.23,494147.0386,157615.1397
332,10,1,103.4,504925.763,161053.3515
285,0,0,56.86,436039.378,139080.6145
304,0,0,75.82,457593.8023,145955.921
302,3,1,74.02,463850.3587,147951.4011
300,10,1,70.94,471484.0115,150386.1067
355,11,1,126.33,534857.0411,170600.6355
309,17,3,80.68,477542.7352,152318.7932
333,9,1,104.95,489560.5765,156152.6555
338,3,1,109.95,506210.5891,161463.3718
330,11,1,101.58,508596.8018,162224.1183
333,0,0,104.59,487957.7044,155641.3797
286,5,1,57.71,452300.896,144267.2649
330,16,2,101.95,502815.4344,160380.1672
337,10,1,108.85,503335.2324,160546.2706
317.27,6.89,0.95,88.9809,482169.1049,153794.6501
