duration,waitingtime,waitingcount,timeloss,co2,fuel
122,14,1,30.68,240871.5505,76829.23655
115,0,0,23.96,231079.8315,73705.94893
113,0,0,21.79,225044.0449,71780.67703
114,0,0,23.09,225190.7654,71827.63637
124,0,0,32.58,238464.1326,76061.47676
125,0,0,33.72,242801.0651,77444.73147
151,14,1,60.55,281482.1903,89782.96018
113,0,0,21.73,220963.9376,70479.46824
118,0,0,27.51,222387.2924,70933.53531
114,0,0,23.05,215429.8068,68714.35898
138,6,1,47.2,258311.8605,82392.31004
105,0,0,14.53,207600.6586,66217.01211
120,0,0,29.3,229864.7636,73318.5453
125,0,0,33.81,247602.8361,78976.31416
133,12,2,41.58,253179.4385,80755.19398
125,7,1,33.91,247994.5752,79101.26338
130,1,1,38.96,252019.088,80385.01515
126,0,0,34.57,234118.6131,74675.56169
114,0,0,22.79,225484.8922,71921.4272
116,0,0,25.21,220595.1169,70361.84603
127,16,1,35.79,249365.1131,79538.44232
131,3,1,40.16,245362.7947,78261.97988
114,0,0,23.09,219647.3295,70059.56226
154,13,1,62.76,282149.1725,89995.72675
114,0,0,23.1,230219.4961,73431.49036
129,0,0,38.19,244124.669,77866.98771
118,0,0,27.51,224994.6189,71765.1747
123,0,0,31.96,234714.8243,74865.59428
118,0,0,27.42,224719.2374,71677.34189
114,0,0,23.54,216551.9532,69072.27023
120,0,0,28.87,230696.5799,73583.90396
125,2,1,33.72,243368.6413,77625.75107
115,0,0,24.02,224827.8716,71711.84621
122,4,1,30.65,239111.6165,76267.87897
127,0,0,36.22,238438.3061,76053.34013
125,5,1,33.72,245158.6082,78196.72191
113,0,0,21.8,219584.1071,70039.33774
115,0,0,23.7,219383.1049,69975.29696
115,0,0,24.48,223812.6555,71388.10248
130,0,0,39.38,243485.0992,77663.17793
114,0,0,22.78,222795.7613,71063.70915
114,0,0,23.09,216361.7397,69011.64511
120,0,0,29.31,232721.5804,74229.70234
126,0,0,34.73,242751.2089,77428.89579
113,0,0,21.73,217943.6985,69516.1721
136,20,1,45.01,257960.2811,82280.10675
110,0,0,19.2,209166.2821,66716.49248
107,0,0,15.83,214114.3563,68294.58979
119,0,0,28.53,226676.3062,72301.54774
113,0,0,21.9,219326.0504,69957.02967
115,0,0,23.67,230345.3902,73471.68809
117,0,0,26.53,226327.3635,72190.22886
116,0,0,24.95,226104.2836,72119.05369
128,0,0,36.88,249267.6186,79507.37033
115,0,0,24.15,226110.5259,72120.99578
128,0,0,36.75,243470.6318,77658.42291
131,2,1,40.41,249513.2033,79585.77754
126,2,1,35.21,242724.3149,77420.2773
128,0,0,37.23,247330.131,78889.42177
129,18,1,37.88,254242.9318,81094.33799
104,0,0,12.86,205524.1907,65554.70239
138,17,1,46.67,258429.5391,82429.80415
127,0,0,35.69,233731.1395,74551.9793
120,0,0,28.87,231898.1502,73967.09517
118,1,1,27.31,232143.7938,74045.37186
106,0,0,15.35,205878.6002,65667.78787
125,0,0,33.72,235840.1043,75224.55455
121,2,1,30.03,237823.0966,75856.89735
125,0,0,33.72,241893.418,77155.23272
143,16,1,51.89,268135.7091,85525.81408
105,0,0,14.51,204097.1554,65099.53034
115,0,0,23.66,230718.7628,73590.78171
125,0,0,34.02,232508.2299,74161.88966
148,20,2,56.93,273012.381,87081.39946
113,0,0,22.35,219221.5771,69923.69055
114,2,1,22.79,227123.9866,72444.16567
153,24,2,62.01,285332.4454,91011.1125
114,0,0,23.09,227290.3921,72497.25312
113,0,0,21.81,222550.5333,70985.41949
113,0,0,21.73,227172.5489,72459.63653
127,0,0,35.69,234618.8463,74835.12126
104,0,0,12.86,206633.8364,65908.61335
107,0,0,15.83,214796.9849,68512.35087
147,16,1,55.85,272165.3517,86811.16812
115,0,0,24.01,226617.7222,72282.70587
130,16,1,38.82,248445.1015,79245.0798
125,20,1,34.31,245919.8664,78439.55974
126,2,1,34.86,243696.0246,77730.2575
125,4,1,33.68,244724.249,78058.15091
104,0,0,12.86,207594.4091,66214.98394
121,2,1,29.85,239635.4498,76434.94891
137,18,1,46.1,260593.892,83120.15099
105,0,0,14.53,207655.1168,66234.37245
125,0,0,33.68,232832.1917,74265.24737
118,0,0,26.85,231225.7587,73752.60178
131,3,1,40.33,245935.522,78444.65233
107,0,0,15.84,212432.6234,67758.20221
118,0,0,26.73,228461.1004,72870.82415
131,20,1,39.46,257285.5378,82064.85429
125,0,0,34.4,236648.7742,75482.45261
121.63,3.22,0.35,30.6192,234737.0003,74872.62329
