duration,waitingtime,waitingcount,timeloss,co2,fuel
495,12,1,265.62,725770.4306,231497.0506
430,0,0,201.63,644302.7654,205510.8947
444,34,4,215.54,667358.4219,212864.8116
474,35,3,245.26,710551.7854,226642.5258
411,6,1,182.67,623193.9824,198777.6532
482,22,2,253.79,729984.0048,232840.5056
427,52,5,199.04,659324.4003,210301.9176
403,14,2,174.64,616143.3335,196528.5343
432,0,0,203.84,644540.7326,205586.8342
442,16,2,214.25,674667.9847,215196.3005
437,0,0,208.25,653200.8528,208349.1727
481,19,2,252.59,714010.7359,227745.8631
494,17,2,265.91,736615.6016,234956.1703
472,14,1,243.36,706785.9746,225441.313
442,25,3,214.28,678427.0475,216395.3692
413,7,1,184.32,612806.5792,195464.4612
468,12,1,240.37,700145.9486,223323.3556
481,26,2,253.05,719859.6678,229611.5202
447,12,1,219.19,662627.1577,211355.9023
440,19,3,212.38,659236.0235,210274.0351
445,35,3,217.33,669598.2001,213579.3418
374,20,2,145.82,588785.9845,187802.0792
392,9,2,163.19,603231.9802,192410.0668
417,1,1,188.39,636973.2855,203172.7569
431,15,2,202.26,654951.7185,208907.3352
445,45,4,217.3,679706.0921,216803.3088
436,19,2,207.52,662879.7132,211436.1987
480,26,4,252.52,719479.2421,229490.005
423,2,1,194.9,632497.3852,201745.3251
438,5,1,209.87,659008.1438,210201.4566
436,0,0,207.49,655174.5306,208978.6576
473,11,2,245.01,706395.4899,225316.7278
433,20,2,205.03,643299.0383,205190.8183
448,29,4,220.04,679276.9325,216666.4795
435,26,3,207.4,656507.7104,209403.7809
462,26,2,234.34,687430.2373,219267.3647
475,14,2,246.66,711242.1353,226862.7346
427,26,3,198.92,656936.163,209540.2442
436,10,3,207.93,658530.2469,210048.9219
436,38,4,207.81,662599.7797,211346.8679
500,34,3,271.79,734195.01,234184.0769
453,0,0,224.1,683551.3171,218029.952
401,7,2,172.76,620443.4339,197900.051
473,6,2,244.1,694702.7117,221587.2456
443,27,2,215.18,654121.9807,208643.0109
507,14,2,279.3,756644.8024,241344.8529
411,5,1,183.27,627751.4099,200231.2708
445,15,2,217.47,670445.8556,213849.7353
466,19,2,238.11,693917.4431,221336.5961
401,20,3,172.86,605321.3359,193076.7071
481,32,4,252.65,725290.0508,231343.5583
416,0,0,187.32,617393.8912,196927.7774
484,5,1,255.38,716972.6825,228690.6909
470,4,1,242.38,703089.393,224262.2501
481,28,4,252.72,717385.09,228822.0639
427,12,1,198.89,650596.6446,207518.2862
446,18,2,217.38,675580.8153,215487.4779
405,12,2,176.98,616923.1667,196777.3205
462,0,0,233.97,692962.5448,221031.9854
447,20,2,219.18,667928.4795,213046.857
461,0,0,233.13,685309.9078,218591.0881
468,20,2,239.53,698580.7856,222823.9308
462,27,3,234.33,686114.9874,218847.8053
489,29,4,261.37,726671.6868,231784.2879
479,27,4,251.01,714689.6648,227962.3313
467,0,0,239.18,690999.254,220405.8854
440,14,2,211.79,661588.1963,211024.3647
489,38,4,261.34,726965.4324,231878.0473
412,21,3,183.43,644229.9089,205487.1707
447,19,2,219.11,673407.2206,214794.3119
438,0,0,209.28,657545.8773,209735.0687
471,22,2,242.22,697262.0222,222403.5018
453,15,1,225.31,684226.2891,218245.1931
399,8,1,171.18,613544.8518,195699.623
451,27,2,223.28,683792.843,218106.9423
458,22,3,229.8,684423.4353,218308.2455
471,17,1,242.09,704895.6798,224838.402
440,0,0,211.97,672366.173,214462.1101
431,14,1,203.36,651255.8709,207728.6212
448,16,2,220.28,668214.3401,213137.9449
414,14,1,186.26,626093.2366,199702.4803
402,2,1,173.97,609462.9332,194397.7947
415,26,3,187.18,633258.6066,201987.8981
505,32,3,276.51,754149.151,240548.8665
456,25,3,227.16,688999.1734,219767.6553
449,12,2,221.02,672186.2254,214404.9423
453,11,1,224.56,669927.7093,213684.5894
481,21,2,252.54,720652.1254,229864.1313
462,0,0,234.67,677383.2643,216062.9059
455,16,3,227.46,692916.83,221017.0579
478,15,2,249.25,711610.9615,226980.3553
427,3,1,198.48,654342.2235,208712.8818
468,27,3,239.6,708006.507,225830.4783
473,39,3,243.87,703699.8191,224456.9657
409,7,1,181.48,625513.6242,199517.4619
448,12,3,219.16,667519.2131,212916.3532
464,27,2,234.5,696580.456,222186.0054
462,34,2,234.2,686629.0936,219011.915
429,4,1,200.84,654749.0913,208842.7927
479,20,2,250.58,714295.1366,227836.5575
448.79,16.8,1.95,220.6178,674833.3531,215249.2139
