duration,waitingtime,waitingcount,timeloss,co2,fuel
155,19,1,64.41,284815.7137,90846.29519
145,20,1,54.33,275340.1068,87823.79653
118,0,0,26.87,231664.6101,73892.57453
159,17,1,68.18,289564.5675,92361.06954
135,17,1,44.5,260783.8728,83180.70945
129,0,0,38.21,250926.9334,80036.66271
138,7,1,46.72,266933.2765,85142.20515
123,0,0,31.7,243218.8034,77577.95576
137,15,1,45.66,262708.806,83794.76526
120,0,0,29.36,236788.5006,75526.90973
123,0,0,32.12,243978.6632,77820.32644
112,0,0,20.86,224167.0767,71501.05035
135,0,0,44.14,258502.3151,82453.02634
157,18,1,66.25,288336.2226,91969.30037
118,0,0,27.49,235821.2464,75218.35125
135,0,0,44.04,258961.5305,82599.4902
130,0,0,38.7,254530.7202,81186.13446
137,5,1,46.28,263178.0929,83944.45754
122,0,0,31.48,240962.0307,76858.12637
127,0,0,36.31,240655.0591,76760.35588
158,14,1,66.57,291786.9141,93069.91154
115,0,0,23.78,225523.907,71933.89002
161,19,1,70.06,293202.2046,93521.42
116,0,0,25.18,230436.5098,73500.81577
134,0,0,42.63,259563.2817,82791.40054
131,0,0,40.27,254305.5922,81114.35639
121,0,0,30.23,242371.1131,77307.54213
124,0,0,33.39,240544.5265,76725.01942
129,0,0,38.01,251579.2894,80244.73265
133,1,1,42.32,259032.6343,82622.11344
113,0,0,22.55,224825.8365,71711.19039
154,19,1,62.67,286985.0555,91538.2407
133,0,0,42.04,255638.5438,81539.55666
129,0,0,37.93,251478.6469,80212.62841
126,3,1,34.65,249497.1744,79580.499
127,0,0,36.14,239327.183,76336.82597
136,0,0,44.83,262531.4355,83738.16595
122,0,0,31.54,240654.3127,76759.98206
124,0,0,33.5,240954.4262,76855.76075
114,0,0,23.2,227336.9488,72512.14759
121,0,0,29.66,241427.6232,77006.59693
131,0,0,39.92,252779.9381,80627.73707
136,0,0,45.35,257037.2004,81985.74969
129,0,0,37.73,250827.8745,80005.06223
120,0,0,28.72,232777.6862,74247.64848
139,0,0,47.81,263037.4489,83899.62818
118,0,0,27.14,234167.1723,74690.77039
119,0,0,28.09,239858.4176,76506.05099
123,0,0,31.93,243656.5947,77717.59612
131,5,1,40.4,254613.9759,81212.66664
142,0,0,50.75,270233.0492,86194.79236
137,0,0,46.25,261959.4615,83555.75732
120,0,0,29.36,237979.2829,75906.71422
129,0,0,38.03,251071.8661,80082.88707
163,18,1,72.34,296085.0795,94440.99061
117,0,0,26.26,237223.4738,75665.57363
113,0,0,22.12,221642.0081,70695.70264
127,0,0,35.98,247532.5246,78953.90805
129,0,0,37.96,251398.1528,80186.95587
135,0,0,44.2,259682.3331,82829.40305
118,0,0,27.2,235151.0729,75004.59168
121,0,0,30.04,240886.1519,76833.89959
131,0,0,40.45,254469.3188,81166.58238
136,17,1,44.68,263382.1522,84009.46341
133,1,1,42.45,258099.6767,82324.56763
116,0,0,24.95,229956.5362,73347.72255
128,0,0,37.54,248056.9533,79121.24426
129,0,0,38.4,252718.7209,80608.17011
131,0,0,40.46,254417.5049,81150.05571
133,6,1,42.19,259029.7705,82621.20538
137,0,0,46.28,261315.2356,83350.27335
135,0,0,44.32,252051.1003,80395.37964
114,0,0,22.65,227487.7298,72560.23007
153,20,1,61.9,283447.8554,90410.00933
118,0,0,27.12,234650.4416,74844.90876
142,0,0,50.65,269812.4691,86060.64044
139,19,1,48.27,265439.4574,84665.7299
160,17,1,69.53,289027.5182,92189.86072
131,1,1,40.19,253515.7085,80862.35913
124,0,0,32.75,247512.777,78947.57483
129,0,0,37.95,251820.206,80321.57826
113,0,0,22.48,225092.3543,71796.19449
116,0,0,25.35,231198.9744,73744.00471
135,0,0,44.35,261321.3766,83352.16946
135,0,0,44.48,259423.749,82746.92755
131,0,0,39.79,253455.7542,80843.2871
114,0,0,23.46,230033.3708,73372.17805
126,0,0,35.3,244505.9712,77988.5922
138,14,1,46.63,268050.9419,85498.69144
118,0,0,27.2,232607.6053,74193.35069
137,0,0,45.72,260866.5874,83207.17599
131,1,1,40.56,256040.1078,81667.60933
118,0,0,27.47,236097.4646,75306.44932
138,17,1,46.76,267567.3353,85344.446
121,0,0,29.8,239812.7103,76491.51786
115,0,0,23.7,233139.8274,74363.01577
116,0,0,24.94,228822.0642,72985.88362
123,0,0,32.28,244048.619,77842.638
121,0,0,30.17,242295.5954,77283.44981
138,19,1,46.8,262961.3182,83875.31666
129.76,3.29,0.26,38.8631,251539.9493,80232.20899
