duration,waitingtime,waitingcount,timeloss,co2,fuel
341,22,3,113.23,528115.3125,168450.0024
420,11,2,192.05,624287.6295,199126.592
349,8,4,120.41,544659.1431,173726.7227
322,15,2,93.67,521621.4329,166378.087
321,21,4,92.56,522456.2303,166644.2947
349,20,2,120.75,519606.0862,165736.1375
374,19,3,145.65,557018.3774,177669.6948
283,0,0,54.45,451363.1941,143967.9843
286,13,2,57.53,462194.5453,147422.8142
300,0,0,72.54,453414.2513,144622.6089
345,15,3,116.61,525256.4686,167538.1264
285,6,1,56.7,439453.7035,140169.4886
325,25,4,96.2,516484.5473,164739.6751
334,10,3,105.58,518273.4947,165310.6771
296,10,1,67.67,464576.4554,148182.7706
312,10,2,83.84,491199.4605,156674.6491
298,4,1,69.71,461283.8152,147132.628
278,6,1,49.93,426369.8399,135996.1735
324,18,3,95.49,508383.2391,162155.7586
290,8,2,62.36,471421.1249,150365.6565
320,5,2,91.48,493791.7507,157501.7775
337,9,3,109.5,538043.4647,171616.2618
331,3,1,102.26,492773.9666,157177.4156
303,12,2,74.17,475766.4608,151751.9184
300,2,1,71.27,471319.0026,150333.5185
355,14,3,126.76,551833.7184,176015.4426
320,17,2,91.25,503389.4973,160562.9997
298,2,1,69.61,475430.1157,151644.6012
340,13,3,112.24,517889.9779,165188.5679
315,6,1,87.45,494972.9193,157878.3117
322,12,3,93.35,509234.8563,162427.2765
319,11,3,90.07,500865.0391,159757.6434
368,20,3,139.66,558663.7261,178194.0762
332,22,3,103.62,509353.243,162465.4021
318,13,1,89.38,499018.0792,159168.5928
342,29,4,113.2,537603.1499,171476.0589
327,0,0,98.97,486780.674,155265.8141
348,20,3,120.41,542704.9745,173103.5595
351,18,2,122.7,546069.4011,174176.741
352,16,3,123.51,538036.5048,171614.5217
318,1,1,89.55,483127.0885,154100.1864
295,16,2,66.86,458275.976,146173.2363
304,15,2,75.8,471124.4188,150271.4662
348,5,2,120.37,519751.7865,165782.5926
324,5,2,95.73,493806.9124,157506.67
323,2,1,94.79,492716.8593,157158.9953
337,11,1,108.73,513217.3676,163698.0752
325,13,1,96.81,486570.6144,155198.691
356,21,2,127.44,539059.3219,171941.0454
288,1,1,59.85,442557.9405,141159.6379
392,11,2,164.14,583235.7001,186032.1675
295,3,1,66.53,441886.6124,140945.8727
335,18,3,106.62,503534.2952,160609.5812
316,22,3,86.79,505203.3381,161141.3936
330,7,2,101.8,533950.7625,170310.8136
331,14,4,102.57,518976.9378,165534.8781
289,0,0,60.5,438960.1308,140012.2795
368,17,2,139.84,546789.0998,174406.8376
306,12,2,77.86,479769.823,153029.0447
320,15,1,91.93,482126.0104,153781.0477
365,18,3,137.36,545858.9118,174109.964
315,0,0,86.42,467403.712,149085.1502
355,15,2,126.18,538517.7396,171768.2392
313,0,0,84.33,466779.1664,148885.8814
321,22,4,93.28,519012.5717,165546.0741
307,17,2,79,480520.2635,153268.3322
352,6,1,123.96,532730.7778,169922.3759
336,14,2,107.44,520470.3041,166011.3144
329,6,1,101.16,499361.7476,159278.6274
324,9,1,96.04,494856.6684,157841.5988
306,10,3,76.9,496463.142,158353.4373
349,20,2,120.56,535972.0732,170956.1159
302,7,1,73.99,471574.9881,150415.1717
336,14,2,107.8,508849.1654,162304.9096
285,3,1,56.8,457062.3255,145785.8547
328,10,1,99.43,497068.0166,158547.0714
374,24,2,145.65,571119.4097,182167.2103
315,6,1,87.01,494800.8758,157823.3917
324,10,2,95.7,510542.3462,162844.3402
324,0,0,96.27,492972.3327,157240.4907
319,7,3,90.53,494718.5388,157797.2227
311,24,2,83.05,484404.9079,154507.6534
316,9,2,87.77,486923.802,155311.0905
332,0,0,103.47,506508.3963,161558.1532
375,18,2,146.32,563249.7412,179657.0092
318,8,3,90.13,500268.7661,159567.5551
295,6,2,66.3,456231.4946,145521.0224
298,5,2,70.03,479733.8732,153017.1522
360,15,3,132.34,531065.6894,169391.504
302,0,0,74.05,463244.8536,147758.2657
297,3,1,68.66,465852.5613,148589.8219
362,16,2,132.97,550483.6084,175585.0135
283,1,1,54.46,462590.9155,147548.9093
352,3,1,124.09,533149.2708,170055.7947
329,8,4,101.06,522258.6704,166581.3179
328,5,2,100.15,507260.7692,161797.8863
318,17,2,89.87,507798.6644,161969.1261
321,21,3,91.99,490152.3049,156341.0193
313,0,0,84.82,470034.167,149923.995
277,6,1,48.3,436539.4549,139239.9004
324.96,10.77,1.89,96.6794,502000.2686,160120.0052
